,codmpio,ano,H_coca,coca,year,pct.chg
444,23555,1993,0,0,1993,0
445,23570,1993,0,0,1993,0
446,23574,1993,0,0,1993,0
447,23580,1993,0,0,1993,0
448,23586,1993,0,0,1993,0
449,23660,1993,0,0,1993,0
450,23670,1993,0,0,1993,0
451,23672,1993,0,0,1993,0
452,23675,1993,0,0,1993,0
453,23678,1993,0,0,1993,0
454,23682,1993,0,0,1993,0
455,23686,1993,0,0,1993,0
456,23807,1993,0,0,1993,0
457,23815,1993,0,0,1993,0
458,23855,1993,0,0,1993,0
459,25001,1993,0,0,1993,0
460,25019,1993,0,0,1993,0
461,25035,1993,0,0,1993,0
462,25040,1993,0,0,1993,0
463,25053,1993,0,0,1993,0
464,25086,1993,0,0,1993,0
465,25095,1993,0,0,1993,0
466,25099,1993,0,0,1993,0
467,25120,1993,0,0,1993,0
468,25123,1993,0,0,1993,0
469,25126,1993,0,0,1993,0
470,25148,1993,0,0,1993,0
471,25151,1993,0,0,1993,0
472,25154,1993,0,0,1993,0
473,25168,1993,0,0,1993,0
474,25175,1993,0,0,1993,0
475,25178,1993,0,0,1993,0
476,25181,1993,0,0,1993,0
477,25183,1993,0,0,1993,0
478,25200,1993,0,0,1993,0
479,25214,1993,0,0,1993,0
480,25224,1993,0,0,1993,0
481,25245,1993,0,0,1993,0
482,25258,1993,0,0,1993,0
483,25260,1993,0,0,1993,0
484,25269,1993,0,0,1993,0
485,25279,1993,0,0,1993,0
486,25281,1993,0,0,1993,0
487,25286,1993,0,0,1993,0
488,25288,1993,0,0,1993,0
489,25290,1993,0,0,1993,0
490,25293,1993,0,0,1993,0
491,25295,1993,0,0,1993,0
492,25297,1993,0,0,1993,0
493,25299,1993,0,0,1993,0
494,25307,1993,0,0,1993,0
495,25312,1993,0,0,1993,0
496,25317,1993,0,0,1993,0
497,25320,1993,0,0,1993,0
498,25322,1993,0,0,1993,0
499,25324,1993,0,0,1993,0
500,25326,1993,0,0,1993,0
501,25328,1993,0,0,1993,0
502,25335,1993,0,0,1993,0
503,25339,1993,0,0,1993,0
504,25368,1993,0,0,1993,0
505,25372,1993,0,0,1993,0
506,25377,1993,0,0,1993,0
507,25386,1993,0,0,1993,0
508,25394,1993,0,0,1993,0
509,25398,1993,0,0,1993,0
510,25402,1993,0,0,1993,0
511,25407,1993,0,0,1993,0
512,25426,1993,0,0,1993,0
513,25430,1993,0,0,1993,0
514,25436,1993,0,0,1993,0
515,25438,1993,0,0,1993,0
516,25473,1993,0,0,1993,0
517,25483,1993,0,0,1993,0
518,25486,1993,0,0,1993,0
519,25488,1993,0,0,1993,0
520,25489,1993,0,0,1993,0
521,25491,1993,0,0,1993,0
522,25506,1993,0,0,1993,0
523,25513,1993,0,0,1993,0
524,25518,1993,0,0,1993,0
525,25524,1993,0,0,1993,0
526,25530,1993,0,0,1993,0
527,25535,1993,0,0,1993,0
528,25572,1993,0,0,1993,0
529,25580,1993,0,0,1993,0
530,25592,1993,0,0,1993,0
531,25594,1993,0,0,1993,0
532,25596,1993,0,0,1993,0
533,25599,1993,0,0,1993,0
534,25612,1993,0,0,1993,0
535,25645,1993,0,0,1993,0
536,25649,1993,0,0,1993,0
537,25653,1993,0,0,1993,0
538,25658,1993,0,0,1993,0
539,25662,1993,0,0,1993,0
540,25718,1993,0,0,1993,0
541,25736,1993,0,0,1993,0
542,25740,1993,0,0,1993,0
543,25743,1993,0,0,1993,0
544,25745,1993,0,0,1993,0
545,25754,1993,0,0,1993,0
546,25758,1993,0,0,1993,0
547,25769,1993,0,0,1993,0
548,25772,1993,0,0,1993,0
549,25777,1993,0,0,1993,0
550,25779,1993,0,0,1993,0
551,25781,1993,0,0,1993,0
552,25785,1993,0,0,1993,0
553,25793,1993,0,0,1993,0
554,25797,1993,0,0,1993,0
555,25799,1993,0,0,1993,0
556,25805,1993,0,0,1993,0
557,25807,1993,0,0,1993,0
558,25815,1993,0,0,1993,0
559,25817,1993,0,0,1993,0
560,25823,1993,0,0,1993,0
561,25839,1993,0,0,1993,0
562,25841,1993,0,0,1993,0
563,25843,1993,0,0,1993,0
564,25845,1993,0,0,1993,0
565,25851,1993,0,0,1993,0
566,25862,1993,0,0,1993,0
567,25867,1993,0,0,1993,0
568,25871,1993,0,0,1993,0
569,25873,1993,0,0,1993,0
570,25875,1993,0,0,1993,0
571,25878,1993,0,0,1993,0
572,25885,1993,0,0,1993,0
573,25898,1993,0,0,1993,0
574,25899,1993,0,0,1993,0
575,27001,1993,0,0,1993,0
576,27006,1993,0,0,1993,0
577,27025,1993,0,0,1993,0
578,27050,1993,0,0,1993,0
579,27073,1993,0,0,1993,0
580,27075,1993,0,0,1993,0
581,27077,1993,0,0,1993,0
582,27086,1993,0,0,1993,0
583,27099,1993,0,0,1993,0
584,27135,1993,0,0,1993,0
585,27150,1993,0,0,1993,0
586,27160,1993,0,0,1993,0
587,27205,1993,0,0,1993,0
588,27245,1993,0,0,1993,0
589,27250,1993,0,0,1993,0
590,27361,1993,0,0,1993,0
591,27372,1993,0,0,1993,0
592,27413,1993,0,0,1993,0
593,27425,1993,0,0,1993,0
594,27430,1993,0,0,1993,0
595,27450,1993,0,0,1993,0
596,27491,1993,0,0,1993,0
597,27495,1993,0,0,1993,0
598,27580,1993,0,0,1993,0
599,27600,1993,0,0,1993,0
600,27615,1993,0,0,1993,0
601,27660,1993,0,0,1993,0
602,27745,1993,0,0,1993,0
603,27787,1993,0,0,1993,0
604,27800,1993,0,0,1993,0
605,27810,1993,0,0,1993,0
606,41001,1993,0,0,1993,0
607,41006,1993,0,0,1993,0
608,41013,1993,0,0,1993,0
609,41016,1993,0,0,1993,0
610,41020,1993,0,0,1993,0
611,41026,1993,0,0,1993,0
612,41078,1993,0,0,1993,0
613,41132,1993,0,0,1993,0
614,41206,1993,0,0,1993,0
615,41244,1993,0,0,1993,0
